stt,kanji,hanviet,on_reading,kun_reading,stroke_count,radicals,core_meaning,story_image,logic_development,memory_tip,adjectives,vocabulary
1,日,NHẬT,ニチ|ジツ,ひ|び,4,日-nhat,Ngày|mặt trời,Hình dạng mặt trời tròn có dấu chấm ở giữa sau thành hình vuông.,日-nhat -> (日) mặt trời tỏa sáng,Mặt trời hình vuông có gạch ngang ở giữa.,なし:không có,日本(にほん):nhật bản|日曜日(にちようび):chủ nhật|毎日(まいにち):mỗi ngày|休日(きゅうじつ):ngày nghỉ|誕生日(たんじょうび):sinh nhật
2,月,NGUYỆT,ゲツ|ガツ,つき,4,月-nguyet,Tháng|mặt trăng,Hình dáng mặt trăng khuyết.,月-nguyet -> (月) mặt trăng trên cao,Mặt trăng khuyết có hai gạch ngang.,なし:không có,月曜日(げつようび):thứ hai|今月(こんげつ):tháng này|来月(らいげつ):tháng sau|正月(しょうがつ):tết|一月(いちがつ):tháng một
3,木,MỘC,モク|ボク,き,4,木-moc,Cây,Hình dáng cái cây có cành và rễ.,木-moc -> (木) cây xanh,Cái cây có tán lá và rễ cắm xuống đất.,なし:không có,木曜日(もくようび):thứ năm|大木(たいぼく):cây lớn|木刀(ぼくとう):kiếm gỗ|木の実(きのみ):quả cây|土木(どぼく):công trình công cộng
4,山,SƠN,サン,やま,3,山-son,Núi,Hình ba ngọn núi đứng cạnh nhau.,山-son -> (山) ngọn núi cao,Ba nét đứng tượng trưng cho ba đỉnh núi.,なし:không có,富士山(ふじさん):núi phú sĩ|山道(やまみち):đường núi|火山(かざん):núi lửa|登山(とざん):leo núi|山林(さんりん):sơn lâm
5,川,XUYÊN,セン,かわ,3,川-xuyen,Sông,Dòng nước chảy từ trên xuống.,川-xuyen -> (川) dòng sông chảy,Ba nét vẽ như dòng nước đang chảy.,なし:không có,小川(おがわ):suối nhỏ|川岸(かわぎし):bờ sông|川遊び(かわあそび):chơi ở sông|ナイル川(ないるがわ):sông nile|四川(しせん):tứ xuyên
6,田,ĐIỀN,デン,た,5,田-dien,Ruộng,Hình thửa ruộng được chia ô để canh tác.,田-dien -> (田) thửa ruộng xanh,Ô vuông có chữ thập chia làm bốn phần.,なし:không có,田中(たなか):tên người tanaka|水田(すいでん):ruộng lúa nước|田舎(いなか):quê hương|山田(やまだ):tên người yamada|田んぼ(たんぼ):thửa ruộng
7,人,NHÂN,ジン|ニン,ひと,2,人-nhan,Người,Hình người đang đứng hoặc đi.,人-nhan -> (人) con người,Hai nét gạch chéo như đôi chân đang bước đi.,なし:không có,日本人(にほんじん):người nhật|三人(さんにん):ba người|大人(おとな):người lớn|恋人(こいびと):người yêu|人口(じんこう):dân số
8,口,KHẨU,コウ|ク,くち,3,口-khau,Miệng,Hình cái miệng đang mở.,口-khau -> (口) cái miệng cười,Một ô vuông tượng trưng cho cái miệng.,なし:không có,人口(じんこう):dân số|入口(いりぐち):lối vào|出口(でぐち):lối ra|窓口(まどぐち):quầy giao dịch|口調(くちょう):giọng điệu
9,車,XA,シャ,くるま,7,車-xa,Xe,Hình chiếc xe nhìn từ trên xuống có trục và bánh.,車-xa -> (車) xe lăn bánh,Hình bánh xe và trục xe thời xưa.,なし:không có,電車(でんしゃ):tàu điện|自動車(じどうしゃ):xe ô tô|自転車(じてんしゃ):xe đạp|停車(ていしゃ):dừng xe|車庫(しゃこ):nhà để xe
10,門,MÔN,モン,かど,8,門-mon,Cổng,Hình hai cánh cổng lớn khép lại.,門-mon -> (門) cánh cổng lớn,Hai bên đối xứng như cánh cửa cổng.,なし:không có,校門(こうもん):cổng trường|専門(せんもん):chuyên môn|部門(ぶもん):bộ phận|入門(にゅうもん):nhập môn|門限(もんげん):giờ giới nghiêm
11,火,HỎA,カ,ひ,4,火-hoa,Lửa,Hình ngọn lửa đang bùng cháy.,火-hoa -> (火) ngọn lửa nóng,Hai đốm lửa và đám cháy ở giữa.,なし:không có,火曜日(かようび):thứ ba|火山(かざん):núi lửa|火事(かじ):hỏa hoạn|花火(はなび):pháo hoa|火力(かりょく):hỏa lực
12,水,THỦY,スイ,みず,4,水-thuy,Nước,Hình dòng nước chảy bắn tung tóe.,水-thuy -> (水) nước mát lạnh,Dòng chảy ở giữa và các tia nước hai bên.,なし:không có,水曜日(すいようび):thứ tư|水道(すいどう):nước máy|水泳(すいえい):bơi lội|香水(こうすい):nước hoa|海水(かいすい):nước biển
13,金,KIM,キン|コン,かね,8,金-kim,Vàng|tiền,Hình quặng vàng lấp lánh dưới mái nhà.,金-kim -> (金) vàng quý giá,Mái che bảo vệ những hạt vàng bên dưới.,なし:không có,金曜日(きんようび):thứ sáu|お金(おかね):tiền bạc|金物(かなもの):đồ kim khí|料金(りょうきん):phí dịch vụ|貯金(ちょきん):tiết kiệm tiền
14,土,THỔ,ド|ト,つち,3,土-tho,Đất,Hình mầm cây mọc lên từ mặt đất.,土-tho -> (土) đất đai,Gạch ngang dưới là đất gạch dọc là cây.,なし:không có,土曜日(どようび):thứ bảy|土地(とち):đất đai|お土産(おみやげ):quà lưu niệm|土木(どぼく):công trình|粘土(ねんど):đất sét
15,子,TỬ,シ|ス,こ,3,子-tu,Con,Hình đứa bé đang quấn tã vươn tay.,子-tu -> (子) đứa con nhỏ,Cái đầu to và hai tay giang ra.,なし:không có,子供(こども):trẻ con|様子(ようす):tình hình|電子(でんし):điện tử|双子(ふたご):anh em sinh đôi|椅子(いす):cái ghế
16,女,NỮ,ジョ,おんな,3,女-nu,Phụ nữ,Hình người phụ nữ đang ngồi khoanh tay.,女-nu -> (女) người phụ nữ,Các nét đan xen như tư thế người phụ nữ.,なし:không có,女の子(おんなのこ):bé gái|彼女(かのじょ):cô ấy|女神(めがみ):nữ thần|長女(ちょうじょ):con gái lớn|女性(じょせい):nữ giới
17,学,HỌC,ガク,まな-ぶ,8,子-tu|冖-mịch,Học,Hình đứa trẻ (子) học dưới mái nhà (冖).,冖-mich + 子-tu -> (学) học tập,Mái nhà che chở cho đứa trẻ đi học.,なし:không có,学校(がっこう):trường học|学生(がくせい):sinh viên|大学(だいがく):đại học|数学(すうがく):toán học|修学旅行(しゅうがくりょこう):du lịch học tập
18,生,SINH,セイ|ショウ,い-きる|う-まれる,5,生-sinh,Sống|sinh,Hình mầm cây mọc lên khỏi mặt đất.,生-sinh -> (生) sinh sôi,Cây cỏ đang nảy mầm sinh trưởng.,なし:không có,先生(せんせい):thầy cô|学生(がくせい):sinh viên|生活(せいかつ):sinh hoạt|一生(いっしょう):cả đời|誕生日(たんじょうび):sinh nhật
